Country,Timestamp,Device Category,Key Actions,Page Path,Source,Avg Session Duration,Bounce Rate,Conversions,New Users,Page Views,Returning Users,Unique Page Views,Average time on home page (min),Website,Date,Time,Day
India,01-01-2019 05:01,Mobile,Purchase,/home,direct,137,35,42,804,1984,307,243,4.41,amazon.com,01-01-2019,05:01:00,Tuesday
USA,01-01-2019 07:52,Tablet,Sign Up,/products,referral,179,53,15,438,1938,190,1194,4.89,Amazon Prime,01-01-2019,07:52:00,Tuesday
India,02-01-2019 06:55,Mobile,Sign Up,/contact,organic search,84,49,2,878,1078,191,450,4.35,Amazon Prime,02-01-2019,06:55:00,Wednesday
India,03-01-2019 18:09,Mobile,Subscribe,/contact,social media,168,35,15,779,372,135,479,5.66,Amazon Web Services (AWS),03-01-2019,18:09:00,Thursday
India,03-01-2019 23:36,Desktop,Contact Form,/contact,direct,118,42,40,570,1225,20,147,5.19,AWS Support,03-01-2019,23:36:00,Thursday
India,04-01-2019 08:46,Desktop,Sign Up,/about,direct,160,48,33,208,1678,167,709,5.54,Amazon Music,04-01-2019,08:46:00,Friday
UK,04-01-2019 09:46,Mobile,Purchase,/blog,organic search,67,20,4,635,1291,432,451,0.9,amazon.com,04-01-2019,09:46:00,Friday
Canada,04-01-2019 15:14,Mobile,Sign Up,/home,referral,76,56,19,673,1271,282,866,2.49,Amazon.com,04-01-2019,15:14:00,Friday
Australia,05-01-2019 02:55,Mobile,Download,/about,social media,110,42,20,232,1307,335,1066,4.58,Prime Video,05-01-2019,02:55:00,Saturday
India,05-01-2019 04:28,Mobile,Purchase,/contact,organic search,136,58,31,83,525,425,1453,4.29,amazon.com,05-01-2019,04:28:00,Saturday
UK,05-01-2019 04:58,Tablet,Contact Form,/home,paid search,174,51,11,647,609,405,1394,1,Amazon Support,05-01-2019,04:58:00,Saturday
India,05-01-2019 07:15,Mobile,Subscribe,/about,direct,158,61,31,48,1673,291,841,3.87,Audible,05-01-2019,07:15:00,Saturday
India,05-01-2019 08:39,Mobile,Sign Up,/about,social media,80,39,7,994,1438,482,881,4.46,Amazon.com,05-01-2019,08:39:00,Saturday
Australia,05-01-2019 12:52,Mobile,Subscribe,/blog,paid search,68,57,6,568,1220,244,111,2.23,Amazon Web Services (AWS),05-01-2019,12:52:00,Saturday
Canada,06-01-2019 02:45,Mobile,Purchase,/home,referral,171,43,32,810,737,415,778,5.83,amazon.com,06-01-2019,02:45:00,Sunday
UK,06-01-2019 15:43,Mobile,Download,/products,paid search,98,61,23,57,612,383,1378,5.89,Prime Video,06-01-2019,15:43:00,Sunday
India,07-01-2019 05:41,Desktop,Sign Up,/blog,direct,83,29,29,161,462,38,1088,2.05,Amazon Music,07-01-2019,05:41:00,Monday
Australia,07-01-2019 06:14,Mobile,Sign Up,/blog,organic search,72,66,8,629,1111,53,1078,3.27,Amazon.com,07-01-2019,06:14:00,Monday
Canada,07-01-2019 06:31,Mobile,Sign Up,/home,organic search,110,25,5,959,596,146,698,3.26,Amazon Music,07-01-2019,06:31:00,Monday
Australia,08-01-2019 06:59,Mobile,Subscribe,/contact,paid search,119,58,36,477,511,426,537,1.1,Amazon Prime,08-01-2019,06:59:00,Tuesday
India,08-01-2019 09:32,Desktop,Download,/about,direct,99,25,28,747,1803,182,734,5.8,Prime Video,08-01-2019,09:32:00,Tuesday
Canada,08-01-2019 10:18,Mobile,Download,/home,direct,53,61,25,153,1448,51,589,2.18,Prime Video,08-01-2019,10:18:00,Tuesday
USA,08-01-2019 22:00,Mobile,Sign Up,/products,social media,169,24,26,627,752,238,1143,0.98,Amazon.com,08-01-2019,22:00:00,Tuesday
Canada,09-01-2019 01:27,Mobile,Subscribe,/products,social media,110,30,32,876,486,131,338,2.99,Audible,09-01-2019,01:27:00,Wednesday
Australia,09-01-2019 02:10,Mobile,Purchase,/blog,referral,106,69,0,812,1734,261,97,4.9,amazon.com,09-01-2019,02:10:00,Wednesday
Australia,09-01-2019 06:52,Tablet,Purchase,/about,organic search,89,63,23,436,1000,313,466,2.52,amazon.com,09-01-2019,06:52:00,Wednesday
UK,09-01-2019 08:46,Tablet,Download,/blog,referral,173,55,25,89,1096,294,1205,4.8,Amazon Music,09-01-2019,08:46:00,Wednesday
Canada,09-01-2019 09:29,Tablet,Download,/contact,direct,53,30,28,652,1079,426,328,1.03,Prime Video,09-01-2019,09:29:00,Wednesday
USA,09-01-2019 13:47,Desktop,Subscribe,/home,organic search,84,59,3,537,1486,396,146,4.02,Amazon Prime,09-01-2019,13:47:00,Wednesday
India,10-01-2019 09:57,Tablet,Purchase,/products,social media,74,59,37,969,255,189,976,1.02,amazon.com,10-01-2019,09:57:00,Thursday
Canada,10-01-2019 19:29,Mobile,Download,/about,paid search,112,33,22,419,387,89,1324,4.01,Prime Video,10-01-2019,19:29:00,Thursday
India,11-01-2019 07:23,Mobile,Contact Form,/products,direct,37,56,46,965,531,312,1156,3.69,Amazon Help,11-01-2019,07:23:00,Friday
USA,11-01-2019 14:46,Mobile,Purchase,/blog,referral,171,53,24,24,1110,422,212,5.86,amazon.com,11-01-2019,14:46:00,Friday
India,11-01-2019 17:01,Desktop,Contact Form,/contact,referral,169,49,34,821,1322,94,1300,3.11,AWS Support,11-01-2019,17:01:00,Friday
USA,11-01-2019 19:26,Mobile,Purchase,/about,direct,82,42,46,610,1676,56,731,2.53,amazon.com,11-01-2019,19:26:00,Friday
Canada,12-01-2019 09:12,Desktop,Contact Form,/home,social media,176,53,42,536,452,79,586,1.47,Amazon Help,12-01-2019,09:12:00,Saturday
Canada,12-01-2019 17:48,Mobile,Download,/home,social media,65,49,43,645,864,297,494,2.06,Amazon Music,12-01-2019,17:48:00,Saturday
Canada,01-02-2019 06:50,Tablet,Purchase,/contact,social media,47,31,18,317,1007,166,1234,3.9,amazon.com,01-02-2019,06:50:00,Friday
Canada,01-02-2019 12:13,Tablet,Purchase,/home,direct,93,37,31,366,1891,69,555,3.83,amazon.com,01-02-2019,12:13:00,Friday
USA,01-02-2019 19:50,Mobile,Contact Form,/about,organic search,142,33,8,180,555,220,577,1.57,Amazon Help,01-02-2019,19:50:00,Friday
USA,02-02-2019 08:20,Mobile,Sign Up,/home,paid search,81,53,29,583,957,203,679,3.33,Amazon.com,02-02-2019,08:20:00,Saturday
UK,02-02-2019 10:26,Mobile,Subscribe,/blog,paid search,171,49,2,849,732,469,408,1.87,Amazon Web Services (AWS),02-02-2019,10:26:00,Saturday
Canada,02-02-2019 14:02,Desktop,Purchase,/contact,direct,70,37,35,341,1122,89,543,1.59,amazon.com,02-02-2019,14:02:00,Saturday
Canada,03-02-2019 02:53,Tablet,Subscribe,/contact,organic search,127,28,42,417,324,489,711,5.14,Amazon Web Services (AWS),03-02-2019,02:53:00,Sunday
Australia,03-02-2019 20:44,Mobile,Contact Form,/blog,referral,96,41,29,60,886,470,419,3.05,AWS Support,03-02-2019,20:44:00,Sunday
India,04-02-2019 10:40,Mobile,Purchase,/home,direct,134,21,21,185,347,80,94,3.44,amazon.com,04-02-2019,10:40:00,Monday
Australia,04-02-2019 11:42,Mobile,Contact Form,/home,direct,123,63,44,935,987,450,198,4.77,Amazon Support,04-02-2019,11:42:00,Monday
UK,04-02-2019 12:38,Mobile,Sign Up,/contact,social media,78,32,42,71,1146,227,310,1.47,Amazon Music,04-02-2019,12:38:00,Monday
India,04-02-2019 20:27,Desktop,Contact Form,/products,referral,98,64,15,926,149,317,1164,4.76,Amazon Support,04-02-2019,20:27:00,Monday
Australia,05-02-2019 01:50,Desktop,Purchase,/home,paid search,32,50,18,112,1359,453,234,5.18,amazon.com,05-02-2019,01:50:00,Tuesday
Canada,05-02-2019 15:14,Mobile,Sign Up,/contact,paid search,44,25,18,965,1964,349,680,3.17,Amazon Prime,05-02-2019,15:14:00,Tuesday
Canada,05-02-2019 16:22,Mobile,Purchase,/products,paid search,173,32,42,77,1028,20,110,3.94,amazon.com,05-02-2019,16:22:00,Tuesday
India,06-02-2019 01:26,Mobile,Download,/blog,organic search,53,57,12,533,166,131,678,4.65,Prime Video,06-02-2019,01:26:00,Wednesday
Canada,06-02-2019 20:30,Tablet,Sign Up,/home,paid search,154,53,42,235,1163,215,1279,1.54,Amazon Prime,06-02-2019,20:30:00,Wednesday
India,06-02-2019 21:40,Mobile,Contact Form,/blog,direct,82,25,34,451,865,289,989,4.31,Amazon Support,06-02-2019,21:40:00,Wednesday
UK,07-02-2019 00:55,Mobile,Sign Up,/home,referral,101,33,47,671,1364,330,452,4.18,Amazon Music,07-02-2019,00:55:00,Thursday
Canada,07-02-2019 02:21,Desktop,Download,/home,direct,92,55,44,821,542,121,1456,4.42,Amazon Music,07-02-2019,02:21:00,Thursday
USA,07-02-2019 05:15,Mobile,Subscribe,/products,paid search,62,42,42,514,1762,460,1171,5.48,Amazon Web Services (AWS),07-02-2019,05:15:00,Thursday
USA,08-02-2019 11:45,Tablet,Sign Up,/home,paid search,144,42,18,268,681,432,892,4.6,Amazon Prime,08-02-2019,11:45:00,Friday
